#{"t_start": 1626768021.9418232, "env_id": "jtr-modelless-v1"}
r,l,t
-40.864108,22,30.171936
98.492506,39,30.436846
40.162275,32,30.653488
12.345769,28,30.844339
-57.403652,25,31.01465
-77.136419,24,31.177932
14.473112,31,31.387759
-234.659393,12,31.4748
-64.122689,24,31.638833
-28.871042,28,31.828461
52.767549,36,32.072345
-72.702899,27,32.255892
-156.822933,18,32.379013
-148.071185,19,32.508506
-82.205369,19,32.648204
-257.694384,9,32.708924
-218.428651,12,32.791504
-101.485273,20,32.92774
-284.71349,10,32.995988
-281.949837,7,33.043956
-220.251864,12,33.126637
-145.09811,20,33.262482
-180.907214,18,33.385113
-161.97912,15,33.488927
-122.107199,19,33.618916
-78.162225,21,33.761612
-208.991977,14,33.856915
-54.639625,26,34.033031
-51.516976,24,34.197346
-280.988324,9,34.258848
-130.062168,20,34.394663
12.784331,33,34.617776
-162.504883,15,34.721293
-214.868715,14,34.816522
-225.970586,13,34.905041
-224.441199,14,35.000287
-73.924813,25,35.171231
-151.763157,17,35.286814
-143.399264,21,35.429263
-261.413693,11,35.504604
-153.309695,18,35.627739
-218.011721,13,35.716157
-271.601498,9,35.777647
-116.781868,24,35.940975
-210.583933,14,36.037492
-223.094231,12,36.119314
-107.707525,20,36.254884
-276.413262,8,36.309595
-242.797387,14,36.406106
30.96846,30,36.609504
-254.295477,10,36.677657
-204.504908,13,36.766116
-35.5876,27,36.950476
69.916237,35,37.187385
-167.426954,15,37.289782
-97.721468,21,37.434352
-166.9309,14,37.533793
-243.102911,13,37.622254
-259.193067,9,37.684268
-258.859083,10,37.752536
-125.247736,23,37.912371
-83.40892,21,38.054897
109.366118,40,38.326576
-127.296215,18,38.448971
-105.669897,20,38.58606
-182.837801,18,38.708731
-121.083992,19,38.839422
11.520419,29,39.038426
-172.532112,14,39.13488
-13.17844,30,39.337909
-281.840325,13,39.426451
-150.507331,18,39.549098
-157.580491,17,39.665409
-242.347286,11,39.740437
-1.465722,26,39.921381
-164.35706,19,40.050405
-238.811262,12,40.13295
-147.973437,20,40.26897
-250.633538,10,40.339468
-194.462789,14,40.434673
-153.537075,19,40.564771
-68.49426,30,40.768291
-243.089433,13,40.857155
-208.854589,14,40.959374
-274.324474,10,41.028559
-249.801771,11,41.103566
202.366025,45,41.410393
-22.585605,29,41.625333
-226.257294,11,41.702205
-115.616858,19,41.830619
-181.018238,16,41.938969
-18.752022,29,42.135993
-128.396911,21,42.281733
-19.221567,33,42.505088
115.195521,39,42.771896
-181.819254,15,42.873725
-249.024908,10,42.942854
-202.774965,15,43.045344
-145.115149,20,43.181124
886.666667,68,43.641075
20.030347,31,43.852369
-21.205824,26,44.028494
-242.237288,12,44.110098
-266.172059,9,44.171493
-127.212399,22,44.321925
-278.151599,10,44.390391
-160.066083,16,44.499065
-263.425577,11,44.573961
109.481353,37,44.826356
-223.266777,14,44.921546
-102.838417,28,45.111268
-100.1446,22,45.269356
93.486476,35,45.506975
-274.250642,8,45.561636
-235.927677,11,45.637149
-208.038609,13,45.725562
-279.522605,10,45.794641
-74.411934,24,45.957202
-213.676547,16,46.066235
29.785672,31,46.284621
-110.123008,19,46.416931
-221.750886,13,46.505708
-89.521829,26,46.681777
-264.495198,11,46.756723
-254.512885,10,46.825801
-238.497363,12,46.907916
-93.960904,23,47.063702
-174.188131,15,47.165601
-259.348152,11,47.241379
-259.950815,10,47.309549
-174.845668,18,47.432221
-268.30639,8,47.486946
-288.737076,9,47.54926
-177.479033,17,47.66457
-272.187254,11,47.740262
-221.140672,11,47.815596
-200.288299,14,47.911742
-162.731238,20,48.047613
-120.693431,22,48.196708
-226.23619,11,48.273476
156.75048,44,48.578619
-226.187276,13,48.668903
-150.766355,17,48.7883
125.262585,38,49.050492
-212.105442,15,49.153794
-71.802251,26,49.32953
-257.830614,10,49.397689
-123.67903,17,49.51295
-102.742401,22,49.66332
-236.162229,11,49.738485
-276.296222,10,49.806664
-238.171581,12,49.888282
-203.945188,14,49.984746
-76.196396,22,50.133815
-180.648254,16,50.242684
-106.918602,22,50.391935
-84.807308,25,50.562436
-204.263108,13,50.651595
108.470007,35,50.893593
-176.533103,19,51.022464
-260.636364,10,51.091578
-243.535851,11,51.166581
-208.275141,15,51.268462
-195.019253,15,51.370687
-230.570909,11,51.446529
-158.97456,19,51.575518
28.76682,34,51.805781
-240.000886,14,51.900902
-249.037805,11,51.976743
-225.509525,12,52.058459
-106.849235,20,52.195492
-174.207519,15,52.29746
-3.672739,28,52.487795
-209.941421,13,52.583174
-231.6814,13,52.672033
-253.401163,9,52.733603
-233.509303,12,52.817152
61.440537,34,53.047422
-198.85536,13,53.135894
-279.282619,9,53.197403
68.122901,35,53.43542
-8.315932,27,53.618719
-113.065188,21,53.76171
-256.651772,10,53.829881
-200.988347,15,53.933395
-240.772176,10,54.001598
-244.041458,10,54.06976
-269.665669,10,54.13788
-67.186373,21,54.281122
-225.895046,12,54.364674
-138.555505,17,54.48018
-145.018355,18,54.602329
-58.024722,25,54.784406
42.071969,34,55.03616
28.394814,32,55.258215
-155.783758,16,55.366793
-230.036116,13,55.456029
-204.679102,13,55.544409
-227.506995,12,55.626028
-59.78368,25,55.79593
-161.478691,16,55.905539
-36.544522,26,56.08142
-177.346776,17,56.197365
-252.67631,10,56.265602
-186.134999,16,56.374941
-273.13079,9,56.437663
-17.553306,29,56.634284
-106.116947,22,56.784026
23.38777,32,57.002067
-219.831677,13,57.090447
-276.068289,9,57.152542
43.551514,33,57.377877
12.163868,28,57.569142
-241.118379,11,57.644229
-67.540523,29,57.840666
-68.975887,26,58.018563
-200.230276,15,58.121656
118.385745,36,58.36553
-241.641979,10,58.433696
-40.542153,26,58.60968
-139.770619,22,58.760252
-240.812597,12,58.841836
-217.3639,14,58.941715
-197.820824,14,59.036723
-271.277282,9,59.09901
-180.244148,14,59.194577
-306.317114,11,59.269472
-269.43973,8,59.32437
-216.950798,13,59.413665
-135.053021,18,59.535672
-246.410455,11,59.610948
-202.094437,14,59.706818
-229.067648,12,59.789395
-156.925541,19,59.91839
41.60864,31,60.128445
-253.983323,11,60.203337
-215.557275,14,60.299346
1.635248,28,60.489218
-182.420969,14,60.592032
-263.476282,11,60.674042
-134.213116,20,60.81043
-196.636901,13,60.902734
-195.169685,13,61.000139
-30.314626,27,61.200713
-246.0356,10,61.269776
-259.160374,11,61.344705
-262.750331,10,61.413238
-237.766214,12,61.495024
-113.861924,20,61.631527
-35.46203,26,61.807523
-269.835268,10,61.876668
-190.76781,16,61.991615
-91.790415,20,62.135125
-148.358058,18,62.257562
-256.257431,9,62.31946
-275.542758,9,62.380926
-238.19215,12,62.463509
-187.614604,16,62.571995
-79.90439,21,62.714515
-22.646977,29,62.91203
-141.706486,21,63.055742
-220.341519,14,63.150934
-150.054792,18,63.273585
-198.619583,16,63.382072
-258.561368,10,63.451107
-179.046404,14,63.546235
-96.352038,21,63.689335
-179.407711,16,63.797879
-182.200921,16,63.907456
-204.679494,12,63.98916
-247.252171,10,64.05771
