#{"t_start": 1626709518.6805196, "env_id": "jtr-modelless-v1"}
r,l,t
-101.699558,20,0.153838
19.403928,37,0.355875
-238.38301,12,0.419489
-196.661,13,0.490322
-223.293572,12,0.559518
-2.453044,31,1.052043
-182.538294,16,1.328728
-249.252334,11,1.517893
-266.324774,10,1.691663
-270.811973,10,1.865525
-278.181988,12,2.071636
-279.87351,10,2.243401
-185.459553,16,2.520282
-270.694223,10,2.691845
-286.926075,9,2.84622
-231.543149,12,3.053448
-232.801955,11,3.243688
-278.720956,9,3.397652
-251.81563,9,3.55214
-246.445627,10,3.724697
-239.68753,11,3.91503
-261.82926,10,4.086295
-244.470761,10,4.258682
-134.8432,18,4.566704
-268.550272,10,4.740446
-224.889521,12,4.948591
-190.692013,16,5.224905
-164.761611,16,5.501743
-132.123631,17,5.795152
-137.345725,17,6.087762
158.059268,42,6.8061
-177.20848,16,7.079734
-37.892347,27,7.547595
-170.987901,17,7.837958
-216.652672,14,8.079029
-144.719923,16,8.356376
-205.110038,12,8.571105
-216.016673,13,8.795986
-225.687222,10,8.968028
-222.145502,13,9.192784
-166.111869,14,9.439375
-249.06324,10,9.637218
-268.70256,9,9.794063
-198.338521,13,10.018112
-212.848221,12,10.22602
-242.355144,11,10.418636
-260.501803,9,10.576112
-263.78409,10,10.872158
-244.834338,11,11.06619
-251.590706,10,11.245231
-266.865535,9,11.400837
-257.19642,10,11.572829
-254.966246,9,11.733927
-263.750949,8,11.872143
-265.625639,9,12.033516
-271.958629,10,12.206018
-267.238751,9,12.36994
-265.964505,9,12.527063
-275.442871,12,12.734697
-262.065881,10,12.908643
-263.422324,10,13.085199
-263.088497,9,13.242126
-271.1952,8,13.38184
-265.260054,10,13.556767
-273.441372,8,13.69944
-272.992171,10,13.874228
-255.01421,9,14.033009
-250.294855,10,14.208638
-264.159256,9,14.369094
-263.41906,9,14.527738
-275.900058,11,14.720916
-274.517118,10,14.897305
-265.811657,8,15.040033
-264.607876,9,15.199486
-267.164561,10,15.375374
-263.344514,9,15.534528
-259.36957,9,15.694574
-241.028569,16,15.973819
-264.503385,9,16.131793
-245.653047,16,16.410766
-258.2327,9,16.569163
-249.305608,15,16.831015
-220.739691,16,17.111019
-235.719202,16,17.391048
-245.258972,14,17.63672
-219.948615,15,17.898477
-235.251682,16,18.177837
-191.412075,18,18.49306
-223.582162,12,18.705238
-237.241498,11,18.897417
-229.464566,12,19.108027
-192.029868,19,19.44025
-253.428901,14,19.687626
-159.938292,21,20.055402
-183.839471,19,20.387078
-226.98712,11,20.579748
-207.688854,12,20.791131
-184.63557,14,21.036177
-27.61605,23,21.436751
-83.943913,21,21.801959
60.291645,30,22.326796
279.77678,43,23.080771
442.960861,65,24.214315
448.888614,75,25.524741
467.373723,75,26.836376
487.354404,75,28.148749
896.666667,62,29.234806
158.529624,34,29.829438
243.424198,40,30.530761
441.046138,75,31.841874
419.437271,57,32.842087
0.564736,29,33.349601
382.85319,57,34.348924
375.138357,54,35.298242
160.939366,35,35.913987
201.498818,37,36.564567
432.99744,75,37.887102
447.995484,65,39.03177
189.540213,34,39.633076
286.667857,42,40.373131
512.14565,75,41.694788
436.352452,75,43.01227
468.755653,75,44.333096
430.655215,75,45.651606
910.0,54,46.600437
221.883345,48,47.448691
450.225539,75,48.766601
903.333333,58,49.78729
32.519095,28,50.284419
481.035325,75,51.601148
532.941468,75,52.918662
527.705463,75,54.236908
900.0,60,55.29125
896.666667,62,56.380749
494.572071,75,57.695076
500.054985,75,59.011137
521.037358,75,60.34744
464.755266,75,61.668103
898.333333,61,62.74312
898.333333,61,63.812033
898.333333,61,64.880549
516.410881,75,66.199083
511.428944,75,67.518377
455.333476,75,68.835926
440.601454,75,70.151686
447.992807,75,71.465814
534.638916,75,72.781749
456.542738,75,74.099211
529.421736,75,75.420573
900.0,60,76.472138
462.556956,75,77.794411
901.666667,59,78.833325
524.25203,75,80.153214
906.666667,56,81.138085
522.677423,75,82.457175
484.514114,75,83.777625
901.666667,59,84.815182
470.788212,75,86.131665
502.936528,75,87.448797
900.0,60,88.502569
413.503329,60,89.561555
448.431302,58,90.580345
898.333333,61,91.65057
148.679783,41,92.372645
898.333333,61,93.446314
903.333333,58,94.467106
404.887008,55,95.436109
477.80354,75,96.754222
425.437992,63,97.862986
54.541781,33,98.444268
535.983424,75,99.76389
498.585624,75,101.082184
543.472619,75,102.403309
437.494127,72,103.667779
516.908877,75,104.987116
431.12918,55,105.957198
522.605038,75,107.280636
507.073985,75,108.596553
441.87082,75,109.913797
496.948213,75,111.237175
457.178125,39,111.924749
529.095152,75,113.244941
448.757791,75,114.560752
504.4289,75,115.877893
507.270585,75,117.199473
479.58804,75,118.517333
508.188385,75,119.835886
435.226885,67,121.011712
900.0,60,122.069174
481.528647,75,123.388305
526.123111,75,124.706027
441.808619,75,126.023674
901.666667,59,127.164559
437.377872,67,128.370432
515.697254,75,129.691688
530.464935,75,131.010977
501.621482,75,132.335202
471.677326,75,133.652682
450.317618,75,134.973459
431.704884,69,136.186758
152.874589,40,136.893235
520.278655,75,138.214861
900.0,60,139.269638
183.88245,40,139.972987
905.0,57,140.977001
466.108085,75,142.294266
425.374652,61,143.371877
534.276758,75,144.690307
514.891279,75,146.013751
903.333333,58,147.032941
516.454261,75,148.362185
452.762782,71,149.623241
905.0,57,150.624517
905.0,57,151.628281
538.579797,75,152.949278
498.241304,75,154.267136
900.0,60,155.324862
900.0,60,156.380006
513.770322,75,157.698316
417.247187,58,158.719503
435.11416,63,159.829702
489.475798,75,161.151365
903.333333,58,162.17599
901.666667,59,163.215011
523.656799,75,164.537018
508.587725,75,165.857826
484.830694,75,167.17969
901.666667,59,168.222863
903.333333,58,169.248287
522.202608,75,170.569572
526.209603,75,171.889703
515.178431,75,173.21017
900.0,60,174.268872
468.663559,75,177.781843
452.96264,75,179.103606
487.575371,66,180.267337
898.333333,61,181.343176
526.696886,75,182.66703
494.496138,75,183.988853
896.666667,62,185.081329
898.333333,61,186.155977
471.771727,75,187.474546
423.045364,60,188.531527
485.065338,75,189.850969
498.97958,75,191.173737
900.0,60,192.229563
903.333333,58,193.252828
509.389673,75,194.574956
505.881598,75,195.897635
529.950286,75,197.218261
484.775448,75,198.541638
402.606943,64,199.665528
498.861132,75,200.992142
530.450066,75,202.314546
900.0,60,203.374005
497.468683,75,204.696065
471.340868,75,206.018708
525.873596,75,207.341974
518.479466,75,208.663431
898.333333,61,209.738984
459.436595,75,211.061154
454.366348,75,212.380001
896.666667,62,213.472279
444.288121,64,214.59809
426.032175,63,215.70962
468.077106,75,217.029563
895.0,63,218.139803
451.997703,75,219.463364
462.153065,72,220.738436
365.568399,56,221.728632
472.418972,75,223.049778
458.086118,75,224.372498
900.0,60,225.432075
908.333333,55,226.398397
898.333333,61,227.47294
508.887659,75,228.792519
476.739624,75,230.114327
484.200615,75,231.436984
512.036857,75,232.759554
898.333333,61,233.834556
905.0,57,234.839637
521.116586,75,236.160373
896.666667,62,237.251871
900.0,60,238.305931
503.371748,75,239.630237
516.518547,75,240.949178
507.40152,75,242.272205
498.348851,75,243.593909
494.799648,75,244.915313
526.529872,75,246.237951
896.666667,62,247.337011
428.630953,71,248.600334
529.860781,75,249.938574
896.666667,62,251.041492
492.105264,75,252.376421
194.773644,40,253.090567
896.666667,62,254.1952
491.545864,75,255.527761
536.465068,75,256.862828
453.089516,61,257.9433
452.18949,64,259.079798
898.333333,61,260.166663
901.666667,59,261.21277
421.989434,69,262.434149
460.273029,75,263.7671
530.098149,75,265.094637
898.333333,61,266.176316
225.137063,44,266.965796
473.054191,75,268.28736
471.204954,75,269.609753
476.452683,75,270.929238
898.333333,61,272.001308
523.849698,75,273.325344
891.666667,65,274.471205
900.0,60,275.529499
507.721417,75,276.850971
900.0,60,277.908537
492.565217,75,279.22842
533.301016,75,280.547541
903.333333,58,281.568878
500.481679,75,282.893971
418.437852,59,283.930994
900.0,60,284.99419
508.847172,75,286.326243
438.503712,75,287.654362
469.270969,75,288.978642
898.333333,61,290.052733
509.819306,75,291.374434
459.088252,70,292.610257
896.666667,62,293.704366
518.954865,75,295.039414
511.135694,75,296.363199
905.0,57,297.371243
900.0,60,298.432745
483.213003,75,299.755736
898.333333,61,300.828203
901.666667,59,301.868346
900.0,60,302.926013
518.95331,75,304.245816
450.779488,75,305.569497
521.158377,75,306.894859
900.0,60,307.949389
522.833786,75,309.272815
900.0,60,310.326965
489.043298,75,311.654379
277.818245,45,312.44588
412.625337,55,313.413635
446.849828,63,314.523031
445.114166,75,315.849714
494.413581,75,317.172748
516.880788,75,318.497497
506.252964,75,319.846271
898.333333,61,320.951213
519.688068,75,322.317952
437.926727,71,323.608755
438.032077,75,324.957191
504.797417,75,326.303033
908.333333,55,327.292588
541.926444,75,328.619456
898.333333,61,329.763358
901.666667,59,330.80422
488.982469,75,332.129111
