#{"t_start": 1626701874.7121222, "env_id": "jtr-modelless-v0"}
r,l,t
-29.658003,25,0.175812
-144.415782,21,0.290016
-287.047321,8,0.332301
-97.110999,22,0.449084
-5.36026,31,0.619429
-175.386085,16,0.704137
-190.427747,15,0.785427
-265.366492,9,0.835072
116.507078,44,1.069517
43.658048,33,1.243952
-179.198934,20,1.349789
-203.719603,13,1.418713
-225.255749,11,1.480521
2.154961,30,1.637755
-183.605836,14,1.712554
-29.736235,26,1.851571
-175.732054,18,1.949682
-53.597404,24,2.078077
-277.805732,9,2.125325
-116.394919,17,2.214064
-134.715236,19,2.318228
-191.4012,15,2.399371
-154.420934,16,2.483022
-205.137892,13,2.551339
-181.199876,15,2.633065
-198.534135,14,2.70708
-239.025984,13,2.776679
-101.625605,21,2.888275
-189.520338,14,2.966788
-267.49004,9,3.014148
-200.296364,15,3.092743
-71.015224,27,3.233584
-103.763382,19,3.337899
-241.393066,11,3.396364
-235.031652,12,3.460569
-83.273504,22,3.578564
-88.569957,22,3.697654
-189.242049,20,3.802514
25.119679,32,3.974118
-69.657154,24,4.100145
-275.225552,10,4.156477
-156.33882,17,4.246712
-224.806358,13,4.315609
-216.649892,13,4.383913
-77.167684,25,4.51939
-254.410556,10,4.572668
37.719501,34,4.753438
-42.379008,26,4.891919
-256.26704,10,4.947229
-273.394566,9,4.996159
-104.144269,24,5.124491
-67.294595,27,5.266431
87.952526,37,5.465324
-251.122404,12,5.52946
-255.894421,11,5.588203
-218.923928,10,5.640269
-160.921544,18,5.737928
-207.113722,14,5.814278
-220.860364,12,5.878406
-179.344164,21,5.992181
-196.362707,17,6.083926
-277.913156,9,6.130824
-72.29993,25,6.261223
-212.451511,14,6.336049
218.431481,46,6.582045
-135.286269,19,6.686928
68.515681,30,6.850848
-87.506211,24,6.97823
-201.535822,14,7.054549
62.958466,36,7.246798
-65.51647,23,7.368517
-170.969563,16,7.453083
-105.839407,30,7.614735
-243.309483,14,7.689168
-236.122169,13,7.758727
52.827046,31,7.922878
-240.414393,11,7.986059
-250.95263,11,8.043912
-60.872497,24,8.17045
-111.375728,20,8.275218
-195.900508,16,8.363878
-177.124795,17,8.453355
27.75035,32,8.622924
-198.43509,12,8.686477
-161.543974,17,8.779794
-278.082043,8,8.824074
-114.67608,27,8.969265
-216.707209,13,9.03952
-72.185185,23,9.16354
-55.084862,29,9.31746
-52.637842,24,9.444109
-36.306764,24,9.572311
-232.796792,12,9.640038
-148.504635,18,9.735281
-111.888922,19,9.836151
-279.23654,9,9.884942
-255.895719,9,9.936805
-165.317138,19,10.037755
-266.008665,9,10.085428
-152.685315,18,10.181949
-148.581534,21,10.295166
-186.35911,15,10.374279
-5.809178,29,10.527009
-205.7974,18,10.623141
-191.778382,14,10.700742
-285.84036,9,10.749186
-79.991968,25,10.881215
-250.644036,10,10.93515
-62.213795,27,11.082011
-253.196495,10,11.135253
-183.826694,15,11.21404
-271.958224,8,11.255702
-263.243776,10,11.31201
-255.480994,10,11.36471
-166.412445,17,11.454301
-69.836936,23,11.574864
-220.817787,14,11.654282
-7.49273,30,11.813781
-270.669257,9,11.861866
-119.126505,18,11.955391
-119.442093,18,12.053513
-108.439695,18,12.147762
-243.531197,12,12.212915
-275.688952,8,12.254911
-186.003598,14,12.332384
124.478555,41,12.545738
-227.883926,12,12.610781
-193.049028,14,12.684624
-95.15005,25,12.822459
-214.168379,15,12.902402
-281.260022,9,12.950594
-219.72563,12,13.013875
-282.380455,9,13.064715
-144.496611,18,13.160395
14.05827,34,13.337482
-305.660861,9,13.384442
-78.380809,28,13.537497
2.739018,27,13.680055
-175.21483,14,13.75393
-210.828326,14,13.829682
-197.890202,12,13.896519
-250.019034,11,13.955631
-244.612452,15,14.036489
-198.96618,14,14.11109
-135.42167,22,14.231445
-280.781355,9,14.278767
-205.186994,15,14.358211
-95.071615,22,14.475236
-182.027984,15,14.558115
-273.760653,8,14.600364
-126.859992,20,14.70634
-221.655062,12,14.771005
-36.251274,24,14.902636
-249.779785,11,14.96113
-212.474458,15,15.040365
-247.508377,11,15.097673
-273.108664,10,15.1538
-85.454265,20,15.258553
87.563526,37,15.455189
-210.442712,14,15.528964
296.193376,50,15.794297
-210.862668,14,15.870976
-128.735412,21,15.982782
-119.708724,20,16.086574
-243.883713,11,16.148491
71.895912,35,16.333845
-158.673808,16,16.416809
-111.324982,23,16.541355
-279.050759,9,16.591962
-203.411527,17,16.682969
-87.56574,22,16.807811
106.833411,37,17.012159
-83.123648,22,17.132067
-143.248921,19,17.231275
95.090711,36,17.41999
-81.44214,25,17.5525
76.864184,37,17.752089
-234.618832,12,17.81528
-169.12442,17,17.907014
-194.231547,14,17.980812
-271.810874,11,18.041693
-272.747323,9,18.089908
-235.72241,13,18.157813
-256.838645,10,18.21017
-236.958305,13,18.283363
