#{"t_start": 1626860688.0814967, "env_id": "jtr-modelless-v3"}
r,l,t
-237.484028,18,0.413013
-336.723123,10,0.611191
-79.022253,23,1.063543
-196.710071,14,1.340434
5.739195,33,1.990007
-107.313923,21,3.146095
-285.277837,11,3.807159
-150.903261,20,5.011786
-303.159392,8,5.49778
-323.252916,12,6.21944
-171.094995,16,7.17473
-263.677308,8,7.655894
-183.898357,13,8.43967
-276.26128,8,8.918477
-268.592619,9,9.455591
-264.477621,9,9.99157
-288.650254,9,10.537816
-258.603189,9,11.081829
-267.379755,8,11.565622
-241.826943,9,12.107833
-290.89303,9,12.647667
-278.102501,10,13.241995
-253.467372,9,13.787807
-245.201548,8,14.271327
-262.947127,8,14.758995
-209.639466,11,15.416872
-195.237764,13,16.193154
-251.529315,9,16.74662
-247.585989,11,17.427517
-272.149554,8,17.922073
-270.054292,9,18.479088
-276.611865,11,19.18839
-298.29963,12,20.328006
-248.944178,11,21.366513
-203.263821,14,22.697039
-273.683844,10,23.577313
-207.422089,12,24.304107
-235.091187,12,25.029676
-206.113215,16,25.991899
-265.867911,14,26.862561
-197.570578,13,27.646203
-237.13273,9,28.182743
-292.682896,10,28.782759
-259.384374,12,29.685539
-209.867998,14,30.69243
-225.471046,12,31.429877
-224.681074,11,32.086098
-222.715032,11,32.740517
-195.591259,13,33.530688
-251.370926,10,34.137151
-215.235577,11,34.798077
-233.301728,12,35.513223
-278.959387,11,36.183007
-223.469224,10,36.785234
-210.415005,12,37.504422
-249.845821,12,38.223288
-240.576734,10,38.838202
-248.065036,11,39.490799
-252.110032,10,40.091806
-251.027636,10,40.701572
-226.777807,10,41.313455
-233.739884,9,41.861978
-257.669437,9,42.405025
-239.853202,11,43.061335
-244.576603,11,43.726576
-253.526142,11,44.386478
-259.339774,10,44.990463
-271.68125,10,45.592489
-272.284939,9,46.14463
-251.504989,9,46.692271
-263.456598,8,47.178899
-249.3717,10,47.789079
-275.944922,10,48.404176
-252.028511,9,48.959684
-257.756382,8,49.454961
-266.002108,13,50.256586
-267.040052,9,50.821161
-264.497929,9,51.377237
-264.671454,8,51.876432
-79.355349,25,53.441609
-276.447524,10,54.07943
-268.468194,9,54.638045
-274.940314,9,55.195304
-264.030863,10,55.818171
-272.03573,11,56.507368
-266.365167,9,57.070337
-268.437945,10,57.690097
-296.754105,10,58.305823
-285.584758,12,59.049601
-259.917698,9,59.602947
-270.092729,9,60.158406
-262.519996,9,60.70945
-275.828408,10,61.330321
-259.729035,8,61.825808
-266.800316,9,62.381983
