#{"t_start": 1626869473.6697636, "env_id": "jtr-modelless-v4"}
r,l,t
-55.362609,15,0.118886
-59.825109,13,0.184848
-58.529781,14,0.252092
-28.104792,31,0.400708
-62.748062,16,0.479646
-65.288573,11,0.52978
-56.595434,13,0.767555
-64.172516,11,0.947131
-58.578317,17,1.228386
-33.808763,22,1.597681
-37.502044,23,2.08284
-67.141244,9,2.235793
-47.429486,17,2.517604
-46.001669,22,2.942135
-72.613627,9,3.103618
-38.262826,30,3.656137
-54.268315,17,3.974973
-61.928555,13,4.233085
-70.357464,9,4.423556
-60.712176,12,4.737867
-69.543737,10,4.983979
-69.140639,9,5.1891
-65.929587,10,5.397918
-69.285099,10,5.615149
-73.264979,10,5.886832
-67.683072,10,6.123477
-65.035665,9,6.351999
-58.455374,17,6.785091
-57.308441,14,7.242218
-71.378407,9,7.505873
-69.745449,13,7.917827
-68.054797,11,8.30078
-39.505802,23,8.918792
-70.023436,11,9.11922
-68.450223,11,9.317104
-59.540277,13,9.615698
-62.683271,12,9.947402
-67.044826,9,10.165725
-53.380068,14,10.482703
-46.967696,27,11.192066
-63.583611,12,11.439895
-47.608202,21,11.875764
-40.214653,21,12.303541
-56.802156,12,12.558756
-56.795673,13,12.919037
-51.8011,16,13.311829
-52.940107,14,13.634991
-55.146926,13,13.937072
-56.805325,14,14.253402
-64.522835,11,14.506453
-62.645306,11,14.751237
-52.803395,14,15.066148
-66.407738,11,15.309983
-49.080018,21,15.654923
-54.170475,13,15.871562
-51.830835,15,16.121046
-30.96403,33,16.678821
-64.414436,11,16.863375
-56.415535,13,17.080582
-52.334087,15,17.33392
-34.612204,25,17.757937
-43.597519,17,18.044798
-51.955797,16,18.33285
-18.485961,44,19.065517
100.0,60,20.086005
110.0,54,20.992011
108.333333,55,21.949788
113.333333,52,22.814823
108.333333,55,23.741852
105.0,57,24.685544
105.0,57,25.629868
111.666667,53,26.507312
-7.108284,69,27.653807
106.666667,56,28.584061
106.666667,56,29.524197
101.666667,59,30.538333
9.72967,63,31.659106
123.333333,46,32.531756
106.666667,56,33.581304
108.333333,55,34.58635
106.666667,56,35.823758
105.0,57,37.039709
108.333333,55,38.03031
-7.37275,71,39.318955
6.334849,54,40.368062
100.0,60,41.443024
111.666667,53,42.406727
20.805813,56,43.404915
-133.345302,59,44.520627
103.333333,58,45.536994
101.666667,59,46.599758
6.429014,63,47.708114
8.564855,61,48.776725
6.77735,63,49.90986
103.333333,58,50.907336
115.0,51,51.774561
113.333333,52,52.66168
108.333333,55,53.595811
106.666667,56,54.586401
116.666667,50,55.439187
113.333333,52,56.327609
113.333333,52,57.220331
113.333333,52,58.103316
111.666667,53,58.998085
103.333333,58,59.97332
105.0,57,60.94267
101.666667,59,61.933726
106.666667,56,62.878194
100.0,60,63.893225
113.333333,52,64.770182
108.333333,55,65.69347
108.333333,55,66.61979
106.666667,56,67.563667
115.0,51,68.420706
110.0,54,69.330967
105.0,57,70.286072
106.666667,56,71.21981
106.666667,56,72.167752
108.333333,55,73.084658
111.666667,53,73.984285
115.0,51,74.844752
96.666667,62,75.877717
110.0,54,76.797405
111.666667,53,77.745726
113.333333,52,78.670151
105.0,57,79.684052
108.333333,55,80.620966
108.333333,55,81.548934
110.0,54,82.463149
105.0,57,83.436642
108.333333,55,84.428141
101.666667,59,85.49324
108.333333,55,86.705144
116.666667,50,87.696379
103.333333,58,88.830299
110.0,54,89.745254
108.333333,55,90.666258
111.666667,53,91.552946
108.333333,55,92.504356
111.666667,53,93.417803
111.666667,53,94.309154
115.0,51,95.269363
110.0,54,96.237899
106.666667,56,97.222776
115.0,51,98.169819
113.333333,52,99.106159
113.333333,52,100.016807
108.333333,55,100.952958
111.666667,53,101.862016
106.666667,56,102.857902
105.0,57,103.833763
110.0,54,104.874435
115.0,51,105.875246
121.666667,47,106.707555
113.333333,52,107.630665
113.333333,52,108.497551
115.0,51,109.346473
105.0,57,110.300004
-112.940847,45,111.047954
105.0,57,111.993132
113.333333,52,112.857385
108.333333,55,113.775941
111.666667,53,114.656541
115.0,51,115.507533
110.0,54,116.411679
108.333333,55,117.326808
111.666667,53,118.208855
116.666667,50,119.057043
111.666667,53,119.942803
110.0,54,120.840973
111.666667,53,121.725294
111.666667,53,122.606104
93.333333,64,123.669317
110.0,54,124.566721
105.0,57,125.520177
110.0,54,126.417783
116.666667,50,127.252333
123.333333,46,128.018225
108.333333,55,128.935374
115.0,51,129.781677
103.333333,58,130.747874
111.666667,53,131.627815
101.666667,59,132.61207
108.333333,55,133.528276
111.666667,53,134.413426
106.666667,56,135.343489
103.333333,58,136.309229
111.666667,53,137.19304
101.666667,59,138.178725
108.333333,55,139.097963
138.333333,37,139.712378
108.333333,55,140.629068
110.0,54,141.526141
111.666667,53,142.404885
111.666667,53,143.289024
108.333333,55,144.201343
111.666667,53,145.086926
111.666667,53,145.970992
105.0,57,146.919291
118.333333,49,147.732145
105.0,57,148.681751
110.0,54,149.596487
111.666667,53,150.478476
116.666667,50,151.307863
111.666667,53,152.189266
106.666667,56,153.119634
106.666667,56,154.053328
110.0,54,154.950745
110.0,54,155.849811
113.333333,52,156.72296
101.666667,59,157.703254
110.0,54,158.603193
110.0,54,159.512428
106.666667,56,160.444211
121.666667,47,161.227592
110.0,54,162.125268
108.333333,55,163.038965
111.666667,53,163.925538
110.0,54,164.825091
106.666667,56,165.753694
110.0,54,166.654002
111.666667,53,167.541372
128.333333,43,168.257364
105.0,57,169.208325
110.0,54,170.110187
100.0,60,171.110229
110.0,54,172.00654
108.333333,55,172.923745
115.0,51,173.771332
115.0,51,182.651161
113.333333,52,183.538918
103.333333,58,184.525148
113.333333,52,185.414508
111.666667,53,186.322292
113.333333,52,187.213262
110.0,54,188.138622
103.333333,58,189.138561
111.666667,53,190.043089
111.666667,53,190.954843
110.0,54,191.879537
110.0,54,192.800884
106.666667,56,193.767474
111.666667,53,194.674283
111.666667,53,195.583287
108.333333,55,196.525912
120.0,48,197.348408
111.666667,53,198.254907
113.333333,52,199.145151
110.0,54,200.064147
116.666667,50,200.927975
115.0,51,201.809239
113.333333,52,202.694729
113.333333,52,203.587707
113.333333,52,204.485885
110.0,54,205.434313
103.333333,58,206.436977
106.666667,56,207.406677
105.0,57,208.394846
111.666667,53,209.316247
120.0,48,210.158854
110.0,54,211.096514
108.333333,55,212.069344
111.666667,53,212.99344
110.0,54,213.931376
116.666667,50,214.808955
111.666667,53,215.737149
106.666667,56,216.706913
110.0,54,217.643924
110.0,54,218.592625
110.0,54,219.52194
108.333333,55,220.474852
108.333333,55,221.424413
108.333333,55,222.374866
106.666667,56,223.337029
111.666667,53,224.271226
108.333333,55,225.235812
113.333333,52,226.131813
106.666667,56,227.09779
113.333333,52,227.994829
110.0,54,228.94485
106.666667,56,229.998891
120.0,48,230.87628
121.666667,47,231.737233
110.0,54,232.794781
98.333333,61,233.909294
110.0,54,234.93838
113.333333,52,235.868999
101.666667,59,236.924717
111.666667,53,237.873097
108.333333,55,238.928701
111.666667,53,239.852375
111.666667,53,240.783446
115.0,51,241.684139
113.333333,52,242.62944
115.0,51,243.520785
115.0,51,244.415074
111.666667,53,245.344365
108.333333,55,246.30875
106.666667,56,247.299498
110.0,54,248.24314
115.0,51,249.129653
120.0,48,249.97396
110.0,54,250.922434
106.666667,56,251.899669
125.0,45,252.688742
105.0,57,253.694642
113.333333,52,254.615156
116.666667,50,255.493314
110.0,54,256.477948
110.0,54,257.474542
116.666667,50,258.367888
106.666667,56,259.35939
110.0,54,260.342176
103.333333,58,261.401155
106.666667,56,262.4028
113.333333,52,263.326762
111.666667,53,264.263533
110.0,54,265.20746
106.666667,56,266.190296
108.333333,55,267.162285
113.333333,52,268.084537
108.333333,55,269.052115
