#{"t_start": 1626802874.4652927, "env_id": "jtr-modelless-v2"}
r,l,t
-291.734301,9,0.937796
-2.316846,29,1.133422
-313.556698,9,1.194499
-263.83802,13,1.282356
-204.104024,12,1.364233
-317.128995,8,1.418395
-247.787062,12,1.499633
74.463748,41,2.128101
-143.369073,18,2.439907
-277.772396,10,2.609424
-138.755368,22,2.991808
-153.067854,17,3.281664
-141.683569,18,3.591272
-233.286595,12,3.795162
-316.04465,9,3.95288
-324.358703,9,4.110348
-312.652397,12,4.320544
-273.626398,13,4.552327
-328.802838,10,4.728931
-304.939671,13,4.961694
-286.097755,11,5.161181
-333.510776,8,5.30797
-312.108656,11,5.502874
-365.32998,10,5.678182
-299.096515,12,5.889033
-291.671238,12,6.099167
-285.794583,13,6.324994
-288.43175,12,6.534795
-295.935688,16,6.809311
-329.091556,7,6.931933
-318.176426,7,7.051834
-305.028991,8,7.187813
-233.271093,12,7.399704
-209.375595,13,7.621864
-280.714987,12,7.830528
-284.608533,12,8.038051
-295.976062,13,8.26352
-350.57273,9,8.421641
-286.935525,13,8.64638
-327.852635,8,8.785131
-318.339989,11,8.979701
-308.74907,11,9.167684
-298.87134,13,9.389929
-329.705585,13,9.614948
-348.820141,8,9.753167
-267.989692,13,9.974634
-341.501772,8,10.109339
-342.123337,8,10.242773
-286.524996,13,10.46572
-338.246297,9,10.622205
-333.306268,10,10.796737
-289.671031,14,11.045695
-340.461109,9,11.203597
-324.712451,7,11.327091
-332.429566,8,11.470907
-336.798332,8,11.619381
-263.570466,17,11.924627
-339.851181,10,12.099798
-303.031365,9,12.257559
-247.851454,13,12.484136
-258.791558,12,12.694297
-151.920719,22,13.088757
-315.856127,8,13.229781
-269.778087,12,13.439831
-198.725456,16,13.723397
-327.868682,7,13.855371
-269.162219,11,14.044986
-246.203163,17,14.337251
-340.828252,8,14.475133
-291.169082,12,14.68034
-333.793899,8,14.817076
-304.309748,8,14.959048
-297.305551,10,15.135038
-262.632943,14,15.383325
-286.1356,9,15.542179
-274.22709,10,15.718788
-274.522993,10,15.901659
-256.848907,12,16.120853
-277.364942,9,16.278345
-315.566552,8,16.418526
-242.03808,10,16.597105
-253.425147,14,16.843378
-296.927245,9,17.002405
-278.216406,8,17.144327
-319.576609,7,17.268832
-280.531392,11,17.466105
-272.226832,9,17.628068
-308.154977,9,17.789007
-276.124142,11,17.989863
-273.252293,13,18.223284
-258.29411,11,18.421973
-240.5029,12,18.638292
-254.461882,11,18.838375
-281.567938,10,19.018817
-306.853416,8,19.164422
-307.096317,9,19.327602
-309.779378,12,19.546984
-233.816153,11,19.750803
-140.31392,19,20.107288
361.121848,66,21.272074
451.725235,75,22.598832
182.474342,37,23.252146
367.26877,52,24.181137
207.462236,42,24.931584
314.984409,48,25.802837
421.913551,67,27.035482
371.308652,71,28.272759
351.848182,75,29.604424
894.975117,63,30.731163
373.167902,75,32.080934
899.963197,60,33.175184
353.843309,75,34.50274
900.033225,60,35.557767
893.359447,64,36.751946
896.664161,62,37.85901
357.691324,75,39.237655
354.00072,75,40.576672
900.035415,60,41.659443
328.879803,75,43.02065
395.049924,75,44.373285
320.936346,75,45.730309
182.931141,75,47.068413
368.181125,75,48.403134
358.125414,75,49.76287
444.018016,64,50.910947
398.944711,75,52.270624
401.553571,69,53.480751
900.00659,60,54.549116
343.851645,75,55.905652
411.977334,67,57.133223
254.758015,75,58.494144
356.005897,75,59.813688
369.7821,75,61.147593
344.27435,75,62.529669
248.212653,75,63.87112
291.615073,75,65.225546
304.517496,75,66.550478
898.339315,61,67.624528
304.492367,75,69.008241
904.975791,57,70.029561
303.164721,75,71.397302
394.427375,67,72.580112
336.004606,74,73.861478
342.286257,75,75.236344
402.640232,64,76.4013
351.892332,75,77.752561
400.42988,65,78.909461
375.563109,75,80.233855
317.584545,75,81.582148
349.137868,75,82.946064
313.619634,75,84.297951
908.326443,55,85.277077
287.007496,75,86.58753
906.652551,56,87.587022
319.89806,75,88.959335
894.965839,63,90.097955
321.103643,50,91.001162
299.764573,75,92.336018
302.707447,47,93.156444
256.105466,75,94.495819
389.225509,75,95.856572
896.679484,62,97.002903
377.500646,75,98.35794
274.204684,75,99.684773
885.020081,69,100.939192
391.01787,75,102.308082
388.990611,75,103.682431
317.737736,75,105.059143
451.667386,59,106.095452
371.292158,75,107.465207
364.444799,75,108.857661
