#{"t_start": 1625826264.1128678, "env_id": "jtr-v0"}
r,l,t
125612.926862,82,90.536468
54472.681257,74,157.071017
75199.431444,104,254.163569
37862.371438,36,290.097667
34744.824864,37,323.486026
40463.003002,38,361.02056
30822.513261,35,392.571201
144092.618079,36,424.918344
35936.415348,40,464.38728
37391.987688,33,494.425188
25644.49758,33,527.711775
34459.833323,36,560.331746
43446.354777,39,595.398293
43054.681718,40,634.957942
25404.725469,32,663.77012
51328.780637,36,696.151043
34320.398966,37,733.165424
39288.402417,36,765.584616
49941.251519,38,803.36693
43719.540269,36,836.171878
29835.26263,38,870.472794
41443.373268,37,907.403973
44722.990347,37,940.639937
57824.820469,38,978.275723
29800.149321,36,1010.774479
34329.752116,36,1043.385419
46071.535284,37,1080.324849
50277.687442,49,1124.694114
64090.214089,41,1164.729343
29168.98491,37,1197.395447
71669.30805,43,1239.181241
27103.787817,35,1270.032781
33574.523606,38,1303.641937
37302.878217,37,1339.983398
30730.691364,35,1371.180662
51512.719933,39,1409.478193
66395.050578,52,1455.920481
44964.423871,40,1494.7567
31660.684058,37,1527.521648
39295.676347,38,1561.466043
55033.186093,40,1600.423181
33727.140372,38,1634.143742
41202.13437,37,1670.64694
35274.400841,35,1701.685048
30965.04954,37,1734.524416
30684.755123,35,1769.02718
40522.968732,40,1804.710536
36844.894153,38,1841.690214
29096.613901,35,1873.130653
36497.66219,34,2094.411364
25819.548419,36,2129.983718
41683.018316,40,2178.60467
64325.525661,42,2236.171783
53246.27472,41,2287.437535
32717.228269,34,2330.257174
50823.012503,37,2380.797659
44015.693808,37,2427.67432
42421.361499,34,2475.743572
47694.315482,38,2526.491291
37567.596014,38,2564.098544
40804.945201,38,2601.802536
35883.405132,35,2633.078694
31262.418176,35,2663.992564
32503.279948,39,2702.64556
26996.05527,35,2733.521262
37642.634935,37,2769.992713
24800.940366,33,2799.541959
38910.013505,37,2832.41975
31397.049601,36,2868.183076
39820.973785,38,2902.365883
29972.548713,34,2932.593308
27018.500175,35,2967.558235
38136.149383,39,3002.111162
76494.703746,49,3049.74337
38155.436631,39,3084.519517
50530.753922,47,3129.803999
29037.03223,35,3160.938364
33913.423051,41,3197.190776
30807.752752,36,3232.973968
48868.171425,39,3267.958546
33679.596296,36,3303.397193
30194.596271,36,3335.344769
50768.681472,36,3367.299229
37018.404523,39,3405.732874
64265.174355,42,3443.169722
73479.138363,41,3483.544589
32921.481085,35,3514.802857
36910.854047,36,3546.858866
46370.222469,40,3586.21216
42619.9239,36,3618.609672
29398.936193,34,3648.680445
37987.485728,39,3686.963216
24931.273278,33,3716.29022
30161.268375,37,3752.755853
45102.772815,27,3777.05147
35852.282713,37,3810.120005
29262.507777,35,3844.846781
30099.438331,35,3875.88978
26972.94605,33,3905.318627
39150.544874,42,3946.323199
30668.976535,37,3979.283607
28284.534029,36,4011.469601
44146.587202,38,4210.409584
34064.818573,36,4242.526169
38366.148832,39,4277.15266
41052.928753,40,4316.310361
42230.440938,37,4349.204027
54729.865622,43,4391.2628
40324.08142,40,4427.14751
32414.851648,35,4458.216477
46073.595977,38,4495.460404
53795.345746,38,4529.22871
38660.226347,35,4563.765319
34027.444703,37,4596.388489
37834.404807,36,4628.193693
39257.341529,38,4665.771187
39117.939427,38,4699.433696
31508.645492,37,4731.981045
33932.898102,37,4768.490782
31802.843808,35,4799.289834
57543.913797,47,4844.155817
63045.382425,39,4878.32827
34990.813519,37,4910.661082
30853.818331,37,4946.85932
35656.752271,39,4981.199431
36075.336677,36,5016.373005
54438.332101,38,5050.008967
46532.653275,47,5091.293447
35951.093479,32,5122.977242
64175.360774,38,5156.483081
43224.335673,45,5199.990074
77115.492429,61,5253.877349
55793.892808,65,5314.981085
50857.337903,63,5373.946115
77333.246,59,5425.737499
33001.257555,58,5480.322257
53173.91133,58,5531.310138
42496.60974,56,5584.433815
39008.497799,65,5645.024826
39098.481274,64,5701.157223
88906.191168,66,5772.623099
39793.814523,56,5847.271071
47773.765574,59,5921.153544
60948.765412,64,6003.445885
38869.250017,58,6075.007698
50137.811212,59,6149.758735
48796.798416,60,6465.172442
41205.476552,59,6516.483381
79152.693117,64,6576.088266
51686.646037,60,6631.494391
46028.52045,61,6684.87375
91333.564875,55,6736.086133
34522.064957,37,6768.804533
47730.729733,36,6803.416213
31328.216678,46,6853.893288
32653.610667,45,6894.051674
60249.862017,46,6937.833503
31917.00191,45,6977.163419
30701.77629,44,7018.839719
33823.313211,41,7054.481411
39729.924768,47,7099.261824
48777.991748,49,7142.022242
29312.762596,34,7175.030046
25829.73302,36,7206.380898
35347.748381,47,7246.970527
47390.421035,42,7287.12441
37324.570011,41,7323.518342
35122.954388,47,7368.015568
163054.13693,48,7410.082763
36900.506852,41,7449.323369
35736.208575,38,7482.394988
35325.458198,42,7522.450747
27682.692426,40,7557.229482
37485.667108,40,7591.863863
58679.512657,43,7633.532457
33018.277031,42,7670.120497
41651.749838,37,7705.608566
43165.127394,45,7744.92806
39281.706979,41,7783.789915
40466.824488,41,7819.972829
57677.617757,41,7855.684161
47637.189963,41,7894.797108
30021.211963,42,7931.556135
50845.482215,45,7974.063421
34305.848577,40,8009.176248
43139.895954,42,8049.399744
47028.074085,43,8087.100562
86811.050406,41,8122.853296
35883.19762,43,8163.815848
29008.034228,38,8196.937635
39339.720328,46,8240.470214
46249.004422,46,8467.4058
64787.479507,46,8510.900135
56568.486548,45,8550.313604
39805.941417,51,8598.29354
50882.848479,46,8638.080581
38800.091183,49,8684.364622
29685.633073,44,8722.614855
45453.608728,48,8767.984745
30012.696057,43,8805.342739
55917.982978,51,8853.059268
65481.998979,43,8890.563228
30561.540662,49,8936.607394
36618.34421,50,8980.410888
27133.97675,43,9021.141429
30262.478127,45,9060.190357
39567.464302,48,9105.842318
40482.286435,53,9152.280225
28445.745872,43,9193.188923
44289.881405,47,9234.155605
30168.657454,45,9273.742229
134484.185146,49,9320.189322
35002.448743,42,9363.895327
37094.855478,47,9427.377246
39054.356697,55,9495.465319
26818.761639,40,9549.893198
31543.131582,41,9601.555392
88926.639818,51,9668.187075
29729.777904,40,9719.887306
42411.059709,51,9774.031903
34214.658128,38,9807.393673
39171.195422,39,9844.831578
59891.28197,41,9880.557342
29753.880566,42,9917.219356
39668.164813,40,9955.7949
46491.681797,40,9990.641331
30968.198344,42,10030.827306
60527.701817,42,10067.633817
37808.154345,42,10107.823386
31845.986737,42,10144.887219
42020.906959,49,10187.485117
29553.492239,43,10228.547838
47285.257064,45,10267.827435
57140.24181,47,10312.443171
36412.114909,40,10347.554069
77798.087717,41,10572.5336
35764.814699,43,10610.007761
29370.131726,40,10648.249702
61869.974743,42,10685.317689
44553.844482,44,10727.146297
56451.398188,40,10762.559826
29756.688474,33,10791.769415
31584.706457,39,10829.485003
37787.322152,40,10864.264917
29423.303581,39,10901.795483
36317.084548,43,10939.452088
58781.221122,47,10980.577596
44223.716286,46,11024.430517
37605.645012,37,11056.648916
29689.592863,36,11091.591559
78310.14289,46,11131.805008
39610.955826,42,11171.685828
28776.869838,35,11202.376223
48572.404039,44,11240.633371
27645.00451,35,11274.774112
43563.93792,46,11314.996675
172774.961366,59,11370.065643
39443.886853,37,11402.335985
43786.096578,37,11438.170984
52710.340368,46,11478.376394
43657.733314,42,11518.219202
27396.940292,34,11548.360056
73182.128726,48,11590.322007
41651.285028,38,11627.598457
49647.231007,40,11662.65783
42598.205724,49,11708.741413
48790.499385,40,11743.78377
62899.334528,76,11813.410905
44417.146229,35,11844.30081
29437.577806,34,11877.508243
23976.58929,31,11904.71301
50657.02214,51,11948.98945
38026.575487,39,11986.548431
62255.046488,65,12046.334712
49833.160156,39,12080.589617
33569.722446,37,12112.764682
42944.878386,44,12154.687294
49033.164824,49,12197.632311
36822.949402,40,12236.015836
28330.910061,38,12269.298531
29263.421868,36,12300.670058
39865.227288,47,12345.215882
74382.164954,87,12618.683891
68932.671726,77,12689.506152
46574.928574,61,12742.987147
29874.35535,37,12779.246037
38474.400998,41,12815.075011
58470.103599,94,12900.68586
