#{"t_start": 1626180315.4790468, "env_id": "jtr-v1"}
r,l,t
701.035839,50,45.162775
305.741053,24,60.457977
292.968333,23,78.298781
427.599543,31,99.362341
261.042047,22,113.738484
816.767829,62,157.575363
414.784659,30,177.048144
479.365534,35,202.85569
915.0,51,236.22619
533.316815,36,263.007727
564.147612,36,286.790586
618.399784,44,315.633094
906.666667,56,354.664427
512.325299,39,380.323661
670.022756,51,416.646287
471.758403,33,438.302412
564.02739,41,467.462161
537.746281,40,492.97556
755.958891,51,528.349388
311.966617,24,543.619981
671.548329,48,574.23745
610.061487,39,602.448902
317.721618,24,617.726574
651.247912,48,650.906114
642.532821,48,681.19562
562.122595,36,706.965082
545.493825,40,732.695312
483.220417,35,754.945277
243.295436,20,770.944392
462.102528,36,794.369027
531.659213,36,817.353878
518.855304,39,845.582518
607.325033,43,874.469324
656.269507,48,917.55444
641.736411,46,959.085855
632.770125,42,1000.973637
645.21026,47,1043.466787
419.780483,29,1070.027465
610.489561,42,1110.753685
548.816072,41,1148.369902
648.186578,47,1194.408865
840.013226,66,1256.027997
619.227403,46,1290.061469
595.747935,45,1326.750299
467.964632,30,1349.013533
532.409172,40,1379.304753
499.349572,37,1410.145524
532.916358,39,1440.8598
534.446084,35,1468.048796
691.081649,49,1508.601465
504.608493,32,1532.566159
535.554857,35,1562.065189
566.460716,41,1591.507434
527.976275,36,1620.716586
520.273033,32,1643.815584
603.678125,36,1670.456013
687.383496,44,1706.010435
430.502693,32,1729.359902
506.489814,36,1756.803854
569.662258,43,1791.230885
570.303982,38,1819.271288
577.117389,41,1852.211955
747.216222,38,1879.839125
672.219703,44,1914.818772
598.317989,39,1943.513856
235.735363,19,1957.32796
641.213679,48,1995.237396
903.333333,58,2036.56401
547.201348,36,2066.377433
685.72289,46,2102.460802
432.677831,31,2129.374728
631.170988,45,2162.923756
633.010503,41,2195.124242
637.493058,40,2228.318851
623.818709,39,2257.33033
514.262298,35,2283.640727
640.810965,46,2314.502232
536.835537,35,2341.148558
580.658663,44,2370.536365
498.885814,38,2395.492584
682.220096,50,2431.796116
524.72298,34,2454.212022
540.405885,35,2480.73366
825.850683,62,2522.24695
547.172252,40,2551.924363
477.841181,35,2575.09823
494.651505,39,2604.197582
514.11749,39,2630.196817
560.817045,37,2655.070844
617.297486,41,2684.95491
733.544233,54,2719.90591
482.368254,32,2744.034236
519.665731,34,2766.122961
580.689686,43,2797.134839
691.219822,46,2827.577338
699.517622,50,2863.85995
583.60898,44,2892.344938
906.666667,56,2931.030411
319.510491,27,2948.308204
739.400001,56,2986.786708
559.656967,38,3011.079858
678.212426,49,3042.349261
546.881418,41,3071.898847
699.706197,47,3101.974311
668.615206,50,3137.716597
667.174951,45,3167.230019
507.084478,34,3191.967968
411.853437,29,3210.341541
529.846097,33,3231.525903
711.507402,45,3263.661195
609.322642,46,3293.498541
514.442959,36,3320.006171
519.466127,32,3340.820326
568.863784,35,3366.793375
607.395474,45,3395.736548
580.074221,32,3415.919141
604.111081,40,3444.524648
531.219781,40,3470.447688
489.41897,38,3498.329424
530.983034,40,3524.69568
577.648361,38,3549.233648
541.679935,42,3579.51784
638.593857,42,3607.178004
597.186205,42,3638.202224
454.563385,35,3661.124396
796.552045,59,3702.889681
603.48178,46,3732.832873
847.905665,66,3778.948391
784.622212,58,3819.420594
703.512824,52,3853.369684
560.386141,36,3880.651106
512.677547,40,3906.97016
657.127906,46,3937.516463
781.22813,58,3979.082723
563.910366,43,4010.590529
573.360286,44,4039.166492
901.666667,59,4080.176375
725.732361,47,4110.757862
535.830491,38,4138.367787
511.212897,38,4162.791729
542.539173,42,4189.93153
531.82386,41,4219.475673
452.518676,28,4237.402239
627.174633,47,4270.901309
516.146241,39,4296.051011
565.052811,43,4326.987978
830.178114,64,4368.202991
276.253009,23,4382.951235
627.775299,47,4416.177341
457.9413,35,4438.543976
620.683171,46,4471.220264
517.548864,33,4495.324018
618.103199,44,4539.084486
526.691962,41,4578.45922
480.937417,31,4605.574319
559.431782,39,4646.470742
396.786752,31,4675.020651
499.619479,39,4713.288772
632.018087,44,4752.422163
545.250018,41,4789.328952
526.182836,35,4823.953938
698.964704,50,4860.060143
400.533345,28,4880.487873
498.852894,32,4900.59649
758.17032,55,4938.646147
815.921448,61,4977.864496
421.599345,27,4997.895408
601.964965,44,5026.616057
539.244336,34,5048.435102
789.380162,59,5088.912474
478.869652,31,5108.743243
503.466677,32,5131.820446
606.166645,46,5160.8218
589.643771,30,5179.801202
806.215102,61,5221.504862
500.875635,33,5242.700907
689.2239,50,5277.7463
531.983923,36,5300.795232
462.039528,35,5326.199632
469.003839,32,5347.372909
515.939169,34,5369.143066
464.891244,30,5391.357091
494.003559,32,5411.961393
499.228215,34,5434.171697
613.358453,43,5465.4383
476.039802,32,5486.361867
644.782006,46,5518.810304
531.087539,41,5545.368023
490.258569,31,5568.047823
534.523164,39,5593.285778
461.549843,30,5612.739479
418.805748,26,5632.251529
577.951329,43,5659.845402
526.106457,34,5681.714459
541.388258,35,5706.98713
508.481781,33,5727.515607
637.44259,47,5759.778867
562.858482,36,5782.484715
562.255915,42,5808.707303
563.388283,43,5838.843829
475.082602,35,5860.648523
464.886268,30,5882.389696
400.752065,27,5899.463576
391.791894,27,5916.420584
541.597045,34,5940.672219
529.638228,34,5962.321541
399.705398,29,5980.362153
511.77469,35,6005.037048
643.450721,48,6035.178377
425.359053,27,6051.876045
559.087534,40,6080.175281
470.357105,33,6101.015402
416.622628,31,6123.091735
461.338146,33,6144.445381
494.211712,33,6165.099539
409.536523,27,6182.018664
416.624379,28,6202.452174
517.794747,33,6223.426756
429.006603,28,6241.414325
538.290351,41,6270.385779
437.933173,32,6290.785119
362.404356,28,6311.63098
494.175689,34,6333.280488
466.169551,31,6352.724733
656.398002,48,6386.271037
509.24941,40,6411.580126
560.639708,39,6439.13596
512.464843,36,6462.075775
539.42506,40,6487.814159
689.965228,50,6523.312618
396.838672,30,6542.809966
530.104011,39,6571.045512
593.265123,44,6599.653533
566.520958,43,6630.923006
455.032544,33,6651.984826
427.264878,28,6670.012687
423.11376,29,6691.332209
713.2793,48,6723.548612
441.91697,33,6745.562509
425.589722,29,6767.761862
488.891065,34,6790.636731
475.376117,34,6813.228312
646.652886,49,6848.573724
409.234929,30,6868.494986
437.698088,31,6891.404248
458.891936,29,6910.191094
426.106505,28,6928.135698
566.978605,43,6958.438646
456.358738,32,6978.884757
533.401762,39,7003.502625
487.85233,34,7028.056737
625.050124,47,7057.179515
721.993677,53,7093.051923
546.719169,36,7115.27949
458.817384,32,7242.175573
470.151806,37,7268.685317
533.574295,40,7294.175868
443.274049,30,7312.959611
432.085812,29,7334.715653
453.245491,30,7353.69267
449.365648,32,7373.804991
908.333333,55,7411.653636
616.550425,47,7440.927004
511.709566,35,7466.107723
435.805132,31,7485.399289
433.093742,28,7502.686882
461.501265,29,7523.898217
536.600814,41,7549.916726
549.558121,36,7573.010761
455.727252,32,7597.372129
473.668111,32,7618.622915
488.865958,32,7639.422413
557.236193,42,7670.135063
509.355995,34,7692.991587
435.157607,31,7717.007309
431.228355,30,7736.776928
564.401738,40,7763.074999
450.115496,31,7786.843075
812.873816,62,7827.743806
527.850542,38,7855.681057
455.137143,32,7876.555062
531.320653,35,7899.498215
455.323282,33,7924.409195
452.597202,31,7944.888267
473.736885,31,7965.306958
448.871351,30,7988.196041
555.054879,41,8015.185222
908.333333,55,8054.834182
453.309825,32,8076.025934
494.529253,33,8101.05112
623.17328,45,8145.944678
507.67695,37,8179.340248
434.712706,31,8206.650044
550.175004,42,8249.415569
587.938156,42,8289.13892
412.957769,30,8319.205228
497.424369,34,8350.255413
462.018689,32,8379.990743
487.075915,32,8412.035151
673.991482,50,8453.728035
408.823756,27,8471.144722
677.611999,51,8506.690353
