#{"t_start": 1626699181.1071403, "env_id": "jtr-modelless-v0"}
r,l,t
-228.473615,15,0.108222
245.548273,47,0.358668
-211.968286,13,0.42778
-122.840331,20,0.532791
-274.99302,9,0.625139
-122.349967,18,0.930741
-222.137935,12,1.133394
46.353652,32,1.676828
-233.419452,12,1.882234
-258.821064,9,2.034186
-243.52831,16,2.303288
-257.446203,9,2.454855
-272.304477,9,2.613444
-275.248569,9,2.765279
-283.13401,9,2.917147
-261.533928,16,3.18631
-284.904766,7,3.307248
-280.640789,8,3.4422
-286.211308,8,3.577918
-280.110136,8,3.714538
-282.77876,7,3.836878
-276.960592,14,4.072254
-282.089642,8,4.207152
-282.181449,13,4.426176
-272.939872,14,4.664972
-215.733088,12,4.867163
-276.266544,8,5.002571
-191.56292,18,5.309249
-146.392789,17,5.600822
-181.684039,15,5.852628
494.660815,75,7.115302
468.462127,75,8.384545
462.044665,75,9.650677
411.243522,58,10.644411
336.772923,57,11.605992
459.950952,75,12.885922
903.333333,58,13.890119
458.173892,75,15.181757
506.713088,75,16.468942
465.397138,75,17.759673
519.568136,75,19.052803
510.567994,75,20.336247
468.901853,74,21.610492
508.654919,75,22.893979
507.95966,75,24.18682
475.489594,75,25.472837
316.186383,55,26.417067
513.310214,75,27.707607
905.0,57,28.721249
901.666667,59,29.738627
138.758096,36,30.357465
535.74677,75,31.676632
506.819142,75,32.985168
898.333333,61,34.045122
541.849825,75,35.381644
900.0,60,36.413872
451.439681,75,37.707957
461.715204,75,38.998846
517.726412,75,40.295617
895.0,63,41.387468
536.093523,75,42.681375
461.346502,65,43.797322
535.839809,75,45.091546
465.091507,69,46.27548
903.333333,58,47.27637
38.066489,32,47.82787
220.029434,36,48.444391
526.837787,75,49.730537
450.032573,75,51.028949
529.624552,75,52.315964
890.0,66,53.47044
437.922017,59,54.486765
489.281842,75,55.786704
291.307526,44,56.641015
338.693047,50,57.508889
-303.022916,16,57.787608
465.172003,75,59.083403
486.627381,75,60.373595
457.181154,75,61.668354
895.0,63,62.749515
513.504957,75,64.041545
900.0,60,65.073318
451.859333,64,66.184728
439.437476,59,67.197736
900.0,60,68.232985
527.348387,75,69.525019
487.009325,75,70.818461
414.446127,53,71.733191
474.09548,75,73.123311
505.008551,75,74.413678
510.581873,75,75.704698
898.333333,61,76.755606
467.250943,75,78.049699
416.414053,75,79.342602
901.666667,59,80.35853
536.036954,75,81.653099
900.0,60,82.69202
542.973493,75,83.982469
905.0,57,84.963464
517.310798,75,86.254184
533.002819,75,87.549962
520.280601,75,88.84545
519.757132,75,90.133431
529.030836,75,91.42253
533.312605,75,92.718548
903.333333,58,93.718234
514.146685,75,95.008735
906.666667,56,95.97246
479.797284,75,97.264214
466.492055,75,98.555485
516.66352,75,99.852622
295.589793,52,100.749189
516.846825,75,102.046484
903.333333,58,103.044435
529.045686,75,104.331716
469.854944,72,105.578315
133.196591,35,106.181672
534.448901,75,107.473139
906.666667,56,108.437577
453.934708,75,109.727411
472.656453,75,111.033016
492.173392,75,112.323609
527.386776,75,113.614158
504.767824,75,114.905644
503.48186,75,116.201074
900.0,60,117.233597
462.184538,75,118.53365
895.0,63,119.617514
536.566086,75,120.917796
460.402115,75,122.214271
323.314782,57,123.197066
524.718663,75,124.490746
361.614734,50,125.356462
440.817699,61,126.409359
282.953481,34,126.995703
267.385766,41,127.700338
895.0,63,128.795761
893.333333,64,129.9024
429.970882,59,130.919182
50.908047,34,131.502498
521.819939,75,132.801367
433.979435,58,133.796589
180.406928,45,134.574071
449.411835,62,135.639991
898.333333,61,136.703309
496.101152,75,137.994646
900.0,60,139.027206
527.378646,75,140.319522
498.934157,75,141.613744
512.808908,75,142.902218
481.760078,75,144.19124
905.0,57,145.170474
513.620786,75,146.460022
503.95237,75,147.748275
510.881582,75,149.043001
435.541365,75,150.332515
901.666667,59,151.356153
529.259773,75,152.654485
900.0,60,153.690751
898.333333,61,154.741447
489.431287,75,156.03981
508.040374,75,157.327976
529.528251,75,158.618678
486.877898,75,159.910827
499.458975,75,161.209656
898.333333,61,162.262517
481.509047,75,163.557498
900.0,60,164.60464
438.892342,65,165.730466
539.516253,75,167.02249
523.114697,75,168.313837
498.744224,75,169.602773
906.666667,56,170.573375
905.0,57,173.460068
895.0,63,174.562537
465.102343,75,175.868191
36.26838,35,176.473994
496.432813,75,177.772295
498.931017,69,178.975604
500.039333,75,180.273337
468.040109,75,181.569446
893.333333,64,182.675028
109.928448,38,183.333483
518.46792,75,184.62958
497.741869,75,185.931456
507.86982,75,187.226183
898.333333,61,188.276478
488.618483,75,189.57471
384.547721,57,190.56033
534.385413,75,191.857026
898.333333,61,192.912843
496.923885,75,194.209732
901.666667,59,195.23556
464.042514,75,196.575822
515.428444,75,197.867305
448.223863,75,199.159735
900.0,60,200.195925
900.0,60,201.232315
529.78623,75,202.531338
496.601218,75,203.825421
466.648799,75,205.126676
901.666667,59,206.144097
906.666667,56,207.109986
444.524089,75,208.403548
903.333333,58,209.405835
498.992407,75,210.697906
900.0,60,211.732385
